City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
339,Chinsali,ZM,-10.5414,32.0816,66.49,56,100,9.46,overcast clouds
340,Tateyama,JP,34.9833,139.8667,77.09,88,88,5.48,overcast clouds
341,Tortoli,IT,39.9256,9.6572,71.98,56,0,10.36,clear sky
342,Flin Flon,CA,54.7682,-101.865,80.87,25,95,6.6,overcast clouds
343,Marquette,US,46.5333,-87.6335,66.36,85,100,7.83,overcast clouds
344,Tazovskiy,RU,67.4667,78.7,41.94,75,7,4.03,clear sky
345,Nakhodka,RU,42.8333,132.8947,66.81,95,7,3.91,clear sky
346,Gueret,FR,46.1667,1.8667,59.63,99,93,2.95,overcast clouds
347,Songjianghe,CN,42.1859,127.479,67.28,91,3,3.83,clear sky
348,Ostrovnoy,RU,68.0531,39.5131,50.27,96,100,19.66,overcast clouds
349,Tocopilla,CL,-22.092,-70.1979,64.31,70,30,12.46,scattered clouds
350,Pastavy,BY,55.1168,26.8326,64.63,94,22,4.27,few clouds
351,Abu Dhabi,AE,24.4667,54.3667,100.51,44,0,4.61,clear sky
352,Rockhampton,AU,-23.3833,150.5,62.49,94,96,2.3,overcast clouds
353,Ixtapa,MX,20.7,-105.2,90.23,62,20,9.22,few clouds
354,San Patricio,US,28.017,-97.5169,91.35,55,95,12.21,light rain
355,Carroll,US,39.5501,-77.0164,88.36,65,1,4.61,clear sky
356,Munster,DE,51.9624,7.6257,65.79,96,75,1.14,broken clouds
357,Aswan,EG,24.0934,32.907,92.5,18,0,12.66,clear sky
358,Sinjar,IQ,36.3209,41.8754,92.05,14,0,10.33,clear sky
359,Kulykivka,UA,51.3735,31.6466,70.92,73,32,7.34,scattered clouds
360,Vao,NC,-22.6667,167.4833,68.68,65,92,19.71,overcast clouds
361,Dudley,GB,52.5,-2.0833,61.7,79,89,8.25,overcast clouds
362,Saint-Augustin,CA,51.226,-58.6502,71.71,60,77,20.74,broken clouds
363,Nebolchi,RU,59.1239,33.3454,67.51,85,64,0.58,broken clouds
364,Payakumbuh,ID,-0.2202,100.6308,66.34,82,100,3.6,overcast clouds
365,Port Blair,IN,11.6667,92.75,80.89,84,70,6.89,broken clouds
366,Sorokino,RU,53.75,84.9167,61.25,83,75,1.07,light rain
367,Nanyang,CN,32.9947,112.5328,78.37,93,66,5.88,light rain
368,Abu Samrah,SY,35.3029,37.1841,77.94,63,0,10.16,clear sky
369,Omboue,GA,-1.5746,9.2618,71.64,84,22,7.83,few clouds
370,Tacna,PE,-18.0056,-70.2483,56.3,71,3,7.11,clear sky
371,Honningsvag,NO,70.9821,25.9704,48.34,91,56,1.05,broken clouds
372,Rudnogorsk,RU,57.2639,103.7519,60.46,73,100,1.79,overcast clouds
373,Madang,PG,-5.2246,145.7966,76.53,87,100,5.06,overcast clouds
374,Ocampo,MX,21.65,-101.5,71.28,45,63,11.81,broken clouds
375,Meulaboh,ID,4.1363,96.1285,75.43,86,94,2.3,heavy intensity rain
376,Monrovia,LR,6.3005,-10.7969,74.97,82,88,11.43,light rain
377,Chahal,GT,15.75,-89.5667,74.05,98,100,0.96,overcast clouds
378,Churapcha,RU,62.0025,132.4325,67.08,55,77,8.25,broken clouds
379,Adrar,MR,20.5022,-10.0711,101.05,12,48,8.97,scattered clouds
380,Morondava,MG,-20.2833,44.2833,73.4,53,13,12.48,few clouds
381,Fairbanks,US,64.8378,-147.7164,60.76,77,90,13.8,light rain
382,Ambilobe,MG,-13.2,49.05,67.15,80,1,4.18,clear sky
383,Pangnirtung,CA,66.1451,-65.7125,51.71,61,71,8.1,broken clouds
