City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
470,Kanchanaburi,TH,75.54,light rain,14.6333,99.1,วิคตอรี่วอเตอร์ฮิลล์
480,Shellbrook,CA,81.7,scattered clouds,53.2168,-106.4011,Shellbrook Hotel
481,Caruray,PH,79.54,overcast clouds,10.3094,119.0128,
485,Puerto Maldonado,PE,83.71,overcast clouds,-12.6,-69.1833,Wasai Hotel
486,Ajdabiya,LY,82.67,clear sky,30.7554,20.2263,Almadina Hotel
490,Corinto,GR,87.69,clear sky,37.9407,22.9573,Ephira Hotel
491,Lompoc,US,84.34,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
495,Gorontalo,ID,75.47,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
497,Cortez,US,80.51,scattered clouds,37.3489,-108.5859,Sand Canyon National 9 Inn
501,Umm Lajj,SA,86.2,overcast clouds,25.0213,37.2685,Moon light Furnished Units
502,Bairiki,KI,84.2,light intensity shower rain,1.3292,172.9752,Tarawa Boutique Hotel
503,Goderich,CA,82.2,clear sky,43.7501,-81.7165,Harmony Inn
506,Marrakesh,MA,86.07,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
507,Jega,NG,89.11,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
508,Masallatah,LY,75.52,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
511,Hailey,US,86.9,smoke,43.5196,-114.3153,Wood River Inn & Suites
513,Padang,ID,75.27,overcast clouds,-0.9492,100.3543,Mercure Padang
515,Sola,VU,81.27,broken clouds,-13.8833,167.55,Leumerus Bungalows
518,Harper,LR,76.32,overcast clouds,4.375,-7.7169,Screensaver
523,Tecoanapa,MX,86.22,scattered clouds,16.5167,-98.75,Hotel Manglares
524,Tonekabon,IR,78.75,broken clouds,36.8163,50.8738,Hotel Sadra
525,Amapa,BR,75.29,overcast clouds,1.0,-52.0,
527,Cirebon,ID,75.07,overcast clouds,-6.7063,108.557,Swiss-Belhotel Cirebon
534,Chichihualco,MX,76.77,overcast clouds,17.6833,-99.65,Hotel Casa Blanca
535,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
538,De Land,US,82.94,overcast clouds,29.0283,-81.3031,The Historic Artisan Downtown Hotel
540,Yining,CN,76.73,scattered clouds,29.0361,114.5636,Xiushui Hotel
545,Tuy Hoa,VN,76.6,broken clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
546,Tamandare,BR,75.67,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
547,Kousseri,CM,82.36,thunderstorm,12.0769,15.0306,Le Pilotis
548,San Policarpo,PH,77.94,broken clouds,12.1791,125.5072,JM Lodge
549,Mitsamiouli,KM,77.31,scattered clouds,-11.3847,43.2844,Foyer ADM
554,Salinopolis,BR,79.56,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
557,Saltillo,MX,78.15,broken clouds,25.4167,-101.0,Hotel Urdinola
558,Kandrian,PG,79.36,light rain,-6.2167,149.55,Kandrian Station
559,San Quintin,MX,75.74,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
566,Jalu,LY,86.38,broken clouds,29.0331,21.5482,صاحبة الفخامة
568,Dickinson,US,89.76,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
569,Mayskiy,RU,78.44,clear sky,47.6931,40.1025,Dio Lakrua
573,Columbus,US,86.68,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
577,Takoradi,GH,76.42,light rain,4.8845,-1.7554,Raybow International Hotel
579,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
