City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Chuy,UY,2021-07-14 14:52:08,-33.6971,-53.4616,53.08,96,100,10.78
139,Katsuura,JP,2021-07-14 14:52:09,35.1333,140.3,78.12,89,100,2.01
140,Castro,BR,2021-07-14 14:52:09,-24.7911,-50.0119,70.93,40,83,8.41
141,Talnakh,RU,2021-07-14 14:52:09,69.4865,88.3972,50.77,59,57,3.09
142,Jian,CN,2021-07-14 14:52:10,27.1172,114.9793,83.01,69,87,2.53
143,Geraldton,AU,2021-07-14 14:52:10,-28.7667,114.6,61.21,59,40,18.41
144,Umm Kaddadah,SD,2021-07-14 14:52:10,13.6017,26.6876,86.02,38,98,2.84
145,Bad Reichenhall,DE,2021-07-14 14:52:11,47.7333,12.8833,64.08,86,75,4.61
146,Kaeo,NZ,2021-07-14 14:50:10,-35.1,173.7833,46.33,90,2,3.27
147,Vvedenskoye,RU,2021-07-14 14:52:11,55.4753,65.0847,59.0,48,87,8.08
148,Ovalle,CL,2021-07-14 14:52:11,-30.5983,-71.2003,56.26,62,0,1.99
149,Derac,HT,2021-07-14 14:52:12,19.65,-71.8167,86.58,57,7,11.07
150,Bambous Virieux,MU,2021-07-14 14:52:12,-20.3428,57.7575,72.21,68,20,13.8
151,Nieuwpoort,BE,2021-07-14 14:52:12,51.1244,2.7735,64.09,88,75,17.27
152,Leh,IN,2021-07-14 14:52:13,34.1667,77.5833,65.17,42,43,5.91
153,Chokurdakh,RU,2021-07-14 14:52:13,70.6333,147.9167,45.95,72,91,7.34
154,Vaini,TO,2021-07-14 14:52:14,-21.2,-175.2,73.56,94,75,6.91
155,Touros,BR,2021-07-14 14:52:14,-5.1989,-35.4608,83.3,64,97,18.61
156,Prainha,BR,2021-07-14 14:52:14,-1.8,-53.48,86.99,56,82,4.56
157,Olbia,IT,2021-07-14 14:51:07,40.9214,9.4856,80.65,39,20,21.85
158,Kieta,PG,2021-07-14 14:52:15,-6.2167,155.6333,79.95,85,74,9.64
159,Opunake,NZ,2021-07-14 14:52:15,-39.4556,173.8583,46.62,73,23,17.0
160,Tahoua,NE,2021-07-14 14:52:15,14.8888,5.2692,93.18,40,20,11.5
161,Saint George,US,2021-07-14 14:52:16,37.1041,-113.5841,84.54,61,18,1.01
162,Luganville,VU,2021-07-14 14:52:16,-15.5333,167.1667,77.29,88,66,15.17
163,Palmer,US,2021-07-14 14:52:16,42.1584,-72.3287,76.26,83,90,0.0
164,Dikson,RU,2021-07-14 14:52:17,73.5069,80.5464,36.3,91,100,9.04
165,Barcelona,ES,2021-07-14 14:50:46,41.3888,2.159,86.34,66,20,1.99
166,Pak Phanang,TH,2021-07-14 14:52:17,8.3511,100.202,79.41,81,99,9.6
167,Lebu,CL,2021-07-14 14:52:18,-37.6167,-73.65,51.31,67,61,3.65
168,Mao,ES,2021-07-14 14:52:18,39.8885,4.2658,81.16,44,20,9.22
169,San Quintin,MX,2021-07-14 14:52:18,30.4833,-115.95,69.94,79,2,3.4
170,Samarinda,ID,2021-07-14 14:52:18,-0.5,117.15,70.18,99,85,2.06
171,Flin Flon,CA,2021-07-14 14:52:19,54.7682,-101.865,67.84,68,20,2.3
172,Butaritari,KI,2021-07-14 14:52:19,3.0707,172.7902,83.12,77,88,14.45
173,Paamiut,GL,2021-07-14 14:52:19,61.994,-49.6678,45.25,89,85,18.7
174,Klaksvik,FO,2021-07-14 14:52:20,62.2266,-6.589,52.72,97,100,27.87
175,Baykit,RU,2021-07-14 14:52:20,61.67,96.37,64.29,65,54,7.07
176,Lavrentiya,RU,2021-07-14 14:52:20,65.5833,-171.0,44.82,92,69,5.12
177,Awbari,LY,2021-07-14 14:52:21,26.5921,12.7805,104.25,9,0,15.48
178,Darhan,MN,2021-07-14 14:52:21,49.4867,105.9228,62.96,77,8,1.99
179,Mancio Lima,BR,2021-07-14 14:52:21,-7.6142,-72.8958,82.47,83,0,4.61
180,Dingle,PH,2021-07-14 14:52:22,10.9995,122.6711,77.22,90,100,2.98
181,Ust-Ishim,RU,2021-07-14 14:52:22,57.6935,71.1665,44.96,96,100,13.89
182,Melnikovo,RU,2021-07-14 14:52:22,56.5558,84.085,69.93,91,89,7.52
183,Estelle,US,2021-07-14 14:52:23,29.8458,-90.1067,88.0,70,75,4.61
184,Katobu,ID,2021-07-14 14:52:23,-4.9408,122.5276,73.49,92,100,2.06
185,Soria,ES,2021-07-14 14:52:23,41.6667,-2.6667,72.01,28,99,2.19
186,Chicama,PE,2021-07-14 14:52:24,-7.8447,-79.1469,63.14,72,58,7.9
187,Ponta Do Sol,PT,2021-07-14 14:52:24,32.6667,-17.1,82.71,68,0,6.58
188,Moose Factory,CA,2021-07-14 14:52:25,51.2585,-80.6094,57.2,82,90,8.05
189,Bergkamen,DE,2021-07-14 14:52:25,51.6333,7.6333,70.83,94,90,13.8
190,Jiangkou,CN,2021-07-14 14:52:25,25.4872,119.1986,82.29,88,17,3.83
191,Cooma,AU,2021-07-14 14:52:26,-36.2333,149.1333,46.17,81,75,8.05
192,Nioro,GM,2021-07-14 14:52:26,13.35,-15.75,91.71,51,100,8.97
